ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS (copy),xac định đỉnh (copy),Đường đi 2,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (4),Insert edge 1,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 5,Prim E,Câu hỏi 4,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 3,Câu hỏi 4,Chia kẹo khó - instance 3,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 4,Câu hỏi 5,Câu 1 (copy),Nhận diện topology,"Số lượng dãy tăng, giảm (3)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (5)",Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
26723,Nhóm 2 - kíp 4,23,42,54.76,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,2,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có
26725,Nhóm 2 - kíp 4,26,42,61.9,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,Chưa làm,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
26728,Nhóm 2 - kíp 4,12,42,28.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
26729,Nhóm 2 - kíp 4,24,42,57.14,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,0,0,1,0,1,Chưa làm,1,Chưa làm,1,Chưa làm,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,Không có
26730,Nhóm 2 - kíp 4,13,42,30.95,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,Chưa làm,Chưa làm,0,1,0,1,0,0,1,Chưa làm,0,0,0,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có
38300,Nhóm 2 - kíp 4,9,42,21.43,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Chưa làm,0,0,0,0,Chưa làm,0,0,0,0,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
42134,Nhóm 2 - kíp 4,22,42,52.38,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42136,Nhóm 2 - kíp 4,30,42,71.43,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,0,Không có
42137,Nhóm 2 - kíp 4,19,42,45.24,0,0,0,0,Chưa làm,Chưa làm,0,1,1,1,0,1,1,1,1,1,1,0,Chưa làm,1,0,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,1,Chưa làm,1,1,Chưa làm,Chưa làm,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
42138,Nhóm 2 - kíp 4,15,42,35.71,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,Chưa làm,0,Chưa làm,1,0,0,1,1,1,1,0,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42139,Nhóm 2 - kíp 4,12,42,28.57,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,Chưa làm,0,1,0,Chưa làm,0,0,1,Chưa làm,1,Chưa làm,0,Chưa làm,1,Chưa làm,Chưa làm,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có
42144,Nhóm 2 - kíp 4,19,42,45.24,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,Chưa làm,0,1,0,0,1,1,0,0,1,Chưa làm,0,1,1,1,Chưa làm,0,0,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42147,Nhóm 2 - kíp 4,16,42,38.1,0,0,0,0,0,1,1,0,0,1,1,Chưa làm,1,1,0,1,Chưa làm,0,0,1,0,0,0,0,1,0,1,0,0,Chưa làm,1,0,1,1,0,0,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42148,Nhóm 2 - kíp 4,11,42,26.19,0,Chưa làm,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Chưa làm,0,1,0,Chưa làm,1,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
42149,Nhóm 2 - kíp 4,20,42,47.62,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,Chưa làm,0,1,0,Chưa làm,Chưa làm,1,0,0,1,0,0,1,0,1,0,1,0,1,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
42152,Nhóm 2 - kíp 4,28,42,66.67,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,2,0,1,0,1,1,1,0,Chưa làm,1,Chưa làm,1,1,1,1,1,1,0,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
42153,Nhóm 2 - kíp 4,26,42,61.9,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
42165,Nhóm 2 - kíp 4,14,42,33.33,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,1,1,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
42166,Nhóm 2 - kíp 4,16,42,38.1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,Chưa làm,Chưa làm,1,0,0,1,Chưa làm,0,Chưa làm,0,Chưa làm,0,Chưa làm,1,Chưa làm,1,1,Chưa làm,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
42167,Nhóm 2 - kíp 4,23,42,54.76,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42168,Nhóm 2 - kíp 4,17,42,40.48,0,Chưa làm,Chưa làm,0,Chưa làm,1,1,1,0,1,1,1,1,1,1,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,0,0,Chưa làm,1,1,0,0,1,1,1,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
42169,Nhóm 2 - kíp 4,11,42,26.19,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,Chưa làm,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42170,Nhóm 2 - kíp 4,27,42,64.29,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,1,0,1,Chưa làm,0,0,1,1,1,0,1,1,0,1,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
42312,Nhóm 2 - kíp 4,22,42,52.38,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,2,0,1,0,Chưa làm,1,0,1,0,1,Chưa làm,0,1,1,1,1,1,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có
